#:m      eta      Q
0.084150 0.084150 -0.006817 
0.094050 0.084150 -0.007670 
0.103950 0.084150 -0.008632 
0.113850 0.084150 -0.009704 
0.123750 0.084150 -0.010890 
0.133650 0.084150 -0.012193 
0.143550 0.084150 -0.013617 
0.153450 0.084150 -0.015166 
0.163350 0.084150 -0.016845 
0.173250 0.084150 -0.018658 
0.183150 0.084150 -0.020612 
0.193050 0.084150 -0.022712 
0.202950 0.084150 -0.024966 
0.212850 0.084150 -0.027380 
0.222750 0.084150 -0.029963 
0.232650 0.084150 -0.032723 
0.242550 0.084150 -0.035671 
0.252450 0.084150 -0.038818 
0.262350 0.084150 -0.042174 
0.272250 0.084150 -0.045753 
0.282150 0.084150 -0.049569 
0.292050 0.084150 0.000000 
0.301950 0.084150 0.000000 
0.311850 0.084150 0.000000 
0.321750 0.084150 0.000000 
0.331650 0.084150 0.000000 
0.341550 0.084150 0.000000 
0.351450 0.084150 0.000000 
0.361350 0.084150 0.000000 
0.371250 0.084150 0.000000 
0.381150 0.084150 0.000000 
0.391050 0.084150 0.000000 
0.400950 0.084150 0.000000 
0.410850 0.084150 0.000000 
0.420750 0.084150 0.000000 
0.430650 0.084150 0.000000 
0.440550 0.084150 0.000000 
0.450450 0.084150 0.000000 
0.460350 0.084150 0.000000 
0.470250 0.084150 0.000000 
0.480150 0.084150 0.000000 
0.490050 0.084150 0.000000 
0.499950 0.084150 0.000000 
0.509850 0.084150 0.000000 
0.519750 0.084150 0.000000 
0.529650 0.084150 0.000000 
0.539550 0.084150 0.000000 
0.549450 0.084150 0.000000 
0.559350 0.084150 0.000000 
0.569250 0.084150 0.000000 
0.579150 0.084150 0.000000 
0.589050 0.084150 0.000000 
